distillery;age;proof;sweetness;peatiness;availability;colour;nose;flavour_palette;finish
Mortlach;12;43;7;7;2;full-amber;rich;big-body;long
Aberlour;0;59.6;7;4;4;mid-amber;full-body;rich;long
Loch Lomond;9;60.5;6;4;2;straw;full;medium-sweet;sweet
Glenturret;25;43;6;3;1;straw;fresh;full-body;long
Convalmore ;33;40;8;5;4;pale-straw;sweet;medium-sweet;spice
Rosebank;12;43;2;4;6;straw;medium-body;light;smooth
Fettercairn;22;43;3;6;2;deep-amber;big;good-body;long
Laphroaig;12;45;1;10;1;pale-gold;big-body;dry;long
Glenglassaugh;13;59.8;8;4;2;straw;full-body;fresh;long
Glendronach;18;43;6;3;1;deep-amber;full;big-body;long
Glenesk;17;61.8;4;6;1;full-amber;full;medium-sweet;fresh
The Glenlivet;21;40;7;4;6;mid-amber;full-body;medium-sweet;long
Balvenie;12;40;7;3;7;full-amber;full;medium-sweet;fresh
Rosebank;10;43;2;5;2;pale-straw;fresh;dry;long
Clynelish;19;43;4;7;2;pale-straw;close;medium-dry;long
Glen Grant;21;40;5;4;3;amber;fruit;medium-sweet;smooth
Highland Park;14;46;5;6;2;straw;big-body;big-body;long
Longmorn;12;58.6;8;3;1;pale;sweet;sweet;long
Ardbeg;30;40;1;9;1;amber;big;big;long
Glenturret;36;40;6;3;1;pale;rich;medium-dry;long
Caol Ila;13;46;2;9;2;straw;full;big-body;dry
Ben Wyvis;34;51;7;4;1;amber;full-body;soft;long
The Glenlivet;12;40;8;4;6;amber;sweet;medium-sweet;long
Laphroaig;15;46;1;10;2;straw;big-body;powerful;long
Old Elgin (Vatted Malt);8;40;7;6;4;mid-amber;medium;rich;fresh
Linkwood;21;40;8;6;3;deep-amber;smooth;sweet;long
Glen Albyn;39;40;7;4;1;peat;sweet;sweet;fine
Speyside;8;40;7;4;4;rich;full;medium-dry;long
Bunnahabhain;23;46;3;6;2;pale-straw;medium-body;big-body;long
Glen Grant;18;46;5;4;4;full-amber;full;medium-dry;long
Fettercairn;0;40;4;4;0;pale-straw;light;dry;clean
Glen Garioch;8;43;4;5;2;straw;fresh;medium-dry;spirit
Glen Rothes;8;40;8;3;4;full;full-body;medium-sweet;warm
Miltonduff;27;40;6;4;3;amber;medium-body;round;long
Linkwood;17;64.2;7;5;2;pale-amber;medium-sweet;big-body;long
Strathisla;18;57.8;6;7;3;amber;full-body;smoke;long
Tomatin;10;43;6;5;5;honey;light;light;smooth
The Glenlivet;26;57.7;7;4;2;deep-amber;round;medium-sweet;long
Sendai;12;45;6;6;4;full-amber;big;big-body;long
St. Magdalene ;22;40;3;3;1;straw;good-body;smooth;long
Glen Keith;20;43;6;3;6;pale-amber;medium-body;medium-sweet;rich
Glenesk;25;60.1;3;7;1;pale-straw;medium-dry;good-body;long
Clydesdale;100;45;7;3;0;dark-amber;full-body;round;long
Mortlach;12;43;6;6;2;straw;big-body;medium-sweet;long
Port Ellen;16;59;2;9;2;pale-straw;big-body;big;long
The Macallan;18;43;7;4;10;amber;big-body;full-body;long
Inchgower;36;61.6;7;4;1;mid-amber;sweet;medium-sweet;rich
Glenlossie;16;43;7;5;1;pale-straw;fresh;medium-sweet;long
Bowmore;0;40;1;8;9;light-amber;full;dry;long
Glenfiddich;18;43;8;3;4;straw;rich;medium-swet;good
Glen Scotia;14;40;4;3;3;straw;clean;round;long
Tamnavulin;12;40;7;4;3;straw;dark;dark;smooth
Glenlochy;30;52.2;3;6;1;mid-amber;light;dry;long
Ardbeg;24;43;1;10;4;full-amber;full;big-body;long
Pittyvaich;18;53.3;8;2;2;pale-straw;fresh;sweet;long
Tullibardine;10;40;3;6;5;straw;full;dry;pepper
Dallas Dhu;18;60.8;4;3;1;mid-amber;medium-body;medium-dry;dry
Aberlour;26;43;8;3;4;mid-amber;full;soft;long
Glenglassaugh;19;40;5;4;4;mid-amber;full;medium-dry;long
Cragganmore;24;40;7;7;3;amber;full-body;rich;long
Benrinnes;15;43;8;4;4;amber;medium-body;medium-sweet;sweet
Karuizawa;15;40;4;6;3;amber;fresh;medium-dry;long
Ord;12;40;7;5;0;gold;full;full;smooth
Isle Of Jura;21;40;3;6;3;amber;rich;soft;long
Aberlour;15;43;7;3;4;deep-amber;medium-sweet;medium-sweet;long
Caol Ila;15;43;2;9;5;straw;full;big;long
Balmenach;31;40;5;7;2;amber;smoke-peat;dry;dry
Oban;14;43;5;7;7;pale-straw;medium-sweet;smooth;smooke
North Port;17;64.1;4;6;3;pale-amber;light;big;long
Dalmore;11;57.2;6;6;1;dark;full;big-body;long
Glen Mhor;12;43;4;6;0;straw;medium-body;dry;long
Glenury;14;43;6;3;1;pale-straw;light;medium-sweet;long
Longrow;25;46;3;7;2;amber;big-body;medium-dry;long
Yamazaki;12;43;2;5;3;pale-amber;medium-sweet;dry;dry
Chichbu;8;43;9;2;2;mid-amber;medium-sweet;sweet;sweet
Sprinbank;25;46;7;6;2;peat;rich;full;long
The Old Man Of Hoy;0;43;6;4;3;mid-amber;medium-body;medium-body;long
The Bennachie (Vatted Malt);10;43;6;5;2;mid-amber;medium-body;medium-sweet;long
Auchentoshan;10;40;4;4;5;pale-straw;fresh;light;good
Bruichladdich;32;49;4;4;0;dark;dark;soft;long
Sprinbank;9;61.2;5;6;4;pale;young;dry;spice
Glen Scotia;16;57.6;5;6;2;pale-amber;medium-body;rich;tang
Glentauchers;23;40;7;3;4;light;rich;nut;fresh
Sprinbank;21;46;8;5;5;deep-amber;fruit;smooth;fine
Ardbeg;35;52;1;10;1;deep-amber;big-body;big;long
Macduff;20;43;6;4;2;pale;light;medium-dry;delicate-peat
Speyburn;15;60.1;7;5;4;straw;medium-sweet;medium-sweet;sweet
Brora;21;43;3;8;2;pale-amber;big-body;medium-dry;long
The Glenlivet;15;57;8;6;4;amber;full;rich;big-body
Bowmore;12;40;0;8;7;full;light-peat;smooth;good
Royal Brackla;10;43;7;5;6;pale-straw;fresh;round;long
Glendronach;12;40;5;6;6;straw;full;medium-dry;soft
Ardbeg;10;46;2;10;8;amber;big-body;full-body;long
Caol Ila;10;43;2;10;2;straw;big-body;full-body;long
Dufftown;16;55.7;7;3;2;amber;full-body;medium-dry;long
Knockando;20;43;7;3;7;straw;medium-body;good-body;long
Teaninich;10;43;7;5;6;straw;fresh;medium-dry;clean
Sprinbank;10;55.8;7;4;1;mid-amber;dry;big-body;tang
Glen Rothes;19;43;8;3;0;pale-straw;soft;sweet;sweet
Bowmore;21;43;2;8;5;mid-amber;big-body;big;long
Balblair;16;43;6;4;6;amber;full-body;soft;long
Isle Of Jura;10;40;3;7;9;amber;medium-body;big-body;long
Dalmore;12;40;6;6;8;full;fresh;good-body;smooth
Bladnoch;22;50;8;2;2;amber;medium-body;sweet;long
The Macallan;18;43;8;3;2;rich;medium-sweet;medium-dry;clean
Glenfarclas;15;46;9;4;6;gold;full;sweet;sweet
Black Ribbon (Vatted Malt);0;40;7;7;1;mid-amber;medium-body;full-body;full
Glen Moray;12;40;7;3;7;pale-gold;clean;light;delicate
Port Ellen;32;40;2;9;2;peat;big-body;big;long
Clynelish;14;54;3;7;2;straw;full-body;dry;long
Strathisla;12;43;5;5;6;mid-amber;big;medium-dry;long
Aberfeldy;25;40;5;6;4;mid-amber;round;medium-dry;long
Highland Park;10;58.6;2;7;3;pale-amber;fresh;smooth;big
Poit Dhubh (Vatted Malt);12;40;6;4;4;amber;medium-sweet;smooth;long
Glenmorangie;0;43;3;3;5;pale-amber;full-body;sweet;long
Glen Garioch;12;40;4;5;6;mid-amber;medium-body;medium-dry;long
Pittyvaich;12;43;4;6;6;amber;round;medium-dry;long
Tamdhu;0;40;7;4;8;straw;medium-body;medium-sweet;short
Kinclaith;36;40;6;3;2;amber;medium-body;medium-sweet;long
Glengoyne;25;47;6;0;3;straw;fresh;fresh;medium-dry
Teaninich;17;43;9;3;1;pale-straw;full-body;sweet;long
Imperial;14;64.9;6;5;4;pale-straw;warm;warm;long
MacDonald's Glencoe (Vatted Malt);8;58;4;7;2;mid-amber;full-body;medium-dry;long
Auchriosk;13;59.8;6;3;1;water;young;young;long
Dallas Dhu;24;59.7;4;6;2;amber;mature;big-body;long
Auchentoshan;0;43;2;4;4;deep-amber;full;rich;long
Knockdhu;21;57.7;7;3;2;pale-amber;full-body;medium-sweet;long
Glen Grant;31;58.4;6;4;1;pale-amber;full-body;full;long
Glenfarclas;40;43;8;4;0;deep;full-body;medium-sweet;long
Blair Athol;8;40;5;5;0;straw;fresh;sweet;good
Glenkinchie;10;43;2;5;7;pale-straw;fresh;dry;long
Poit Dhubh (Vatted Malt);21;43;5;4;3;mid-amber;rich;medium-dry;long
Linkwood;12;43;7;5;6;straw;medium-sweet;weight;long
Glenmorangie;27;0;4;6;1;full-amber;rich;soft;long
Ardmore;18;46;8;6;4;full-amber;light;malt;cream
Bowmore;17;43;2;8;6;full;rich;round;soft
Glen Garioch;21;43;4;5;5;pale;medium-sweet;hfull-body;smoke
Millburn;18;58.9;5;7;1;pale-amber;medium;round;long
Caperdonich;23;40;8;8;3;pale-straw;sweet;sweet;young
Pittyvaich;12;56.6;4;7;2;straw;peat;medium-dry;long
Bowmore;25;43;3;7;3;deep-amber;full-body;full-body;long
Highland Park;18;52.1;2;6;2;pale-amber;good-body;dry;big
Highland Park;32;40;3;7;4;deep-amber;full-body;big-body;full
Tobermory;18;43;2;8;2;straw;medium-body;medium-body;long
Clynelish;9;61;6;5;1;straw;fresh;medium-sweet;long
Sprinbank;18;43;7;4;1;pale-amber;full-body;fresh;long
